user_id,carts,purchases,views
1515915625353230067,0,0,1
1515915625353230922,0,0,1
1515915625353234047,0,0,17
1515915625353238403,0,0,1
1515915625353262977,0,0,1
1515915625353271890,0,0,1
1515915625353286099,2,1,4
1515915625353294441,0,0,49
1515915625353320420,0,0,1
1515915625353386199,0,0,2
1515915625353416040,0,0,3
1515915625353439133,0,0,12
1515915625353457259,1,1,1
1515915625353460365,0,0,1
1515915625353482553,0,0,8
1515915625353482613,0,0,2
1515915625353486539,0,0,1
1515915625353487799,0,0,15
1515915625353496458,0,0,27
1515915625353514897,0,0,100
1515915625353519642,0,0,1
1515915625353521817,0,0,1
1515915625353525936,0,0,1
1515915625353534622,2,3,5
1515915625353540917,0,0,3
1515915625353555928,0,0,3
1515915625353556364,0,0,2
1515915625353564830,0,0,1
1515915625353566030,0,0,2
1515915625353584382,0,0,1
1515915625353599449,0,0,1
1515915625353599928,0,0,1
1515915625353621544,0,0,3
1515915625353662330,0,0,6
1515915625353678957,0,0,1
1515915625353680947,0,0,2
1515915625353689136,0,0,1
1515915625353799274,0,0,1
1515915625353867330,0,0,1
1515915625353887923,0,0,1
1515915625353899857,0,0,1
1515915625353900095,2,2,28
1515915625353902368,0,0,1
1515915625353946724,0,0,11
1515915625353952775,0,0,1
1515915625353974315,0,0,1
1515915625353974623,0,0,1
1515915625353978876,0,0,1
1515915625354036649,0,0,2
1515915625354049581,0,0,1
1515915625354061413,0,0,3
1515915625354082427,0,0,1
1515915625354091399,0,0,2
1515915625354104372,0,0,2
1515915625354114424,0,0,5
1515915625354125302,0,0,2
1515915625354144006,0,0,1
1515915625354144974,0,0,17
1515915625354145851,0,0,5
1515915625354153061,0,0,6
1515915625354176736,2,1,8
1515915625354177598,0,0,1
1515915625354203920,0,0,1
1515915625354227904,2,0,16
1515915625354255113,0,0,1
1515915625354282346,0,0,1
1515915625354294312,0,0,1
1515915625354329763,0,0,2
1515915625354332774,0,0,1
1515915625354357138,0,0,1
1515915625354385127,1,0,2
1515915625354397425,0,0,1
1515915625354399528,0,0,11
1515915625354412996,0,0,2
1515915625354434003,0,0,1
1515915625354561351,3,3,15
1515915625354634505,0,0,2
1515915625354660579,0,0,1
1515915625354716664,0,0,2
1515915625354783334,0,0,1
1515915625354959926,0,0,4
1515915625355014045,0,0,1
1515915625355107928,0,0,1
1515915625355140010,0,0,1
1515915625355151562,0,0,5
1515915625355179497,0,0,6
1515915625355254656,0,0,1
1515915625355324096,0,0,2
1515915625355330928,0,0,1
1515915625355340242,0,0,1
1515915625355378394,0,0,1
1515915625355390922,0,0,1
1515915625355395060,0,0,2
1515915625355398655,0,0,1
1515915625355398801,1,1,32
1515915625355421833,1,1,1
1515915625355611972,0,0,4
1515915625355625837,0,0,1
1515915625355746162,0,0,1
1515915625355752940,0,0,1
1515915625355784991,0,0,1
1515915625355796580,0,0,1
1515915625355800012,0,0,2
1515915625355805313,3,5,58
1515915625355811151,0,0,1
1515915625355814440,0,0,1
1515915625355817543,0,0,1
1515915625355819982,0,0,1
1515915625355822946,0,0,2
1515915625355842025,0,0,3
1515915625355862838,0,0,1
1515915625355881193,0,0,1
1515915625355921433,0,0,1
1515915625355926869,0,0,3
1515915625355928439,0,0,1
1515915625355947830,1,1,2
1515915625355949633,1,0,1
1515915625355956326,0,0,2
1515915625355978854,1,0,4
1515915625356051774,1,1,2
1515915625356119540,0,0,6
1515915625356137331,0,0,1
1515915625356198847,0,0,3
1515915625356203891,0,0,3
1515915625356205647,0,0,3
1515915625356212446,0,0,4
1515915625356240667,0,0,1
1515915625356307739,0,0,3
1515915625356313286,0,0,1
1515915625356381424,0,0,1
1515915625356382127,0,0,1
1515915625356396104,0,0,1
1515915625356493974,0,0,1
1515915625356503385,0,0,1
1515915625356582255,2,1,2
1515915625356607112,0,0,1
1515915625356621126,0,0,2
1515915625356632111,0,0,1
1515915625356673726,0,0,1
1515915625356679194,0,0,5
1515915625356687217,0,0,2
1515915625356687705,1,0,3
1515915625356706565,0,0,1
1515915625356726216,0,0,1
1515915625356734334,0,0,7
1515915625356769228,0,0,5
1515915625356775302,0,0,1
1515915625356790894,0,0,1
1515915625356850032,0,0,3
1515915625356872665,0,0,1
1515915625356900732,0,0,1
1515915625356916571,0,0,1
1515915625356928964,0,0,2
1515915625356929390,0,0,1
1515915625356972811,0,0,1
1515915625356976111,0,0,2
1515915625356987846,0,0,1
1515915625356991486,0,0,1
1515915625357004601,1,1,1
1515915625357114908,0,0,1
1515915625357132768,1,1,7
1515915625357168077,0,0,1
1515915625357273481,0,0,1
1515915625357361494,0,0,1
1515915625357384049,0,0,1
1515915625357390538,0,0,1
1515915625357470180,0,0,2
1515915625357471424,0,0,1
1515915625357523772,0,0,1
1515915625357619595,0,0,4
1515915625357633952,0,0,1
1515915625357658687,0,0,1
1515915625357683717,0,0,1
1515915625357684290,0,0,2
1515915625357695225,1,0,4
1515915625357781243,1,1,1
1515915625357840572,0,0,6
1515915625357885557,0,0,1
1515915625357893138,0,0,1
1515915625357946675,0,0,4
1515915625357973088,0,0,2
1515915625357985961,0,0,3
1515915625357988711,0,0,1
1515915625357998133,0,0,1
1515915625358003322,0,0,5
1515915625358005739,0,0,1
1515915625358008174,0,0,1
1515915625358014401,0,0,6
1515915625358080905,0,0,1
1515915625358136445,0,0,1
1515915625358197368,2,1,5
1515915625358243137,0,0,2
1515915625358301770,0,0,1
1515915625358395115,1,0,1
1515915625358396159,0,0,5
1515915625358438202,0,0,1
1515915625358482476,1,1,1
1515915625358499750,1,0,3
1515915625358502998,0,0,2
1515915625358541471,0,0,2
1515915625358545759,0,0,1
1515915625358548727,0,0,1
1515915625358556816,0,0,1
1515915625358571825,0,0,1
1515915625358595953,0,0,1
1515915625358642241,0,0,3
1515915625358644599,0,0,1
1515915625358666491,1,0,11
1515915625358685397,0,0,1
1515915625358757361,0,0,1
1515915625358783783,0,0,1
1515915625358804383,0,0,1
1515915625358835858,1,1,3
1515915625358841505,0,0,1
1515915625358848040,1,2,3
1515915625358854047,0,0,4
1515915625358886658,0,0,1
1515915625358892673,0,0,1
1515915625358897016,0,0,2
1515915625358897597,0,0,2
1515915625358905168,0,0,1
1515915625358909550,0,0,2
1515915625358926548,0,0,1
1515915625358959482,0,0,1
1515915625359012548,0,0,2
1515915625359012553,0,0,2
1515915625359160404,0,0,1
1515915625359176190,0,0,1
1515915625359176662,0,0,5
1515915625359197562,0,0,1
1515915625359219515,0,0,1
1515915625359264087,0,0,2
1515915625359266256,1,0,3
1515915625359268086,0,0,1
1515915625359314187,0,0,2
1515915625359336587,0,0,1
1515915625359387862,0,0,3
1515915625359425458,0,0,3
1515915625359447191,0,0,1
1515915625359453928,0,0,1
1515915625359461231,0,0,1
1515915625359506070,0,0,1
1515915625359616242,0,0,2
1515915625359616846,0,0,1
1515915625359619344,0,0,1
1515915625359704983,0,0,1
1515915625359743754,0,0,1
1515915625359744603,0,0,1
1515915625359793996,0,0,1
1515915625359977380,0,0,1
1515915625359986580,0,0,3
1515915625360005514,0,0,1
1515915625360048034,0,0,2
1515915625360066155,0,0,1
1515915625360072300,0,0,1
1515915625360113547,0,0,12
1515915625360146869,0,0,1
1515915625360161045,0,0,1
1515915625360246860,0,0,1
1515915625360350810,0,0,1
1515915625360366363,0,0,1
1515915625360402795,0,0,9
1515915625360474290,0,0,1
1515915625360479862,0,0,4
1515915625360485955,0,0,1
1515915625360538169,0,0,2
1515915625360575255,0,0,1
1515915625360613996,1,0,3
1515915625360642872,0,0,3
1515915625360649877,0,0,1
1515915625360654099,0,0,1
1515915625360656195,0,0,1
1515915625360659278,0,0,2
1515915625360667396,0,0,2
1515915625360687322,0,0,1
1515915625360691855,0,0,3
1515915625360708662,0,0,2
1515915625360736743,0,0,2
1515915625360775587,0,0,66
1515915625360778889,0,0,1
1515915625360793215,0,0,1
1515915625360798041,0,0,2
1515915625360858185,0,0,2
